client_id,annual_income_k,credit_score,loan_approved,age,employment_years,region,debt_to_income_ratio
1,840.25,0.848,1,28,20,Санкт-Петербург,0.11912813920474319
2,174.79,0.23,0,33,30,Санкт-Петербург,0.4440295040724229
3,533.68,0.587,1,37,38,Санкт-Петербург,0.12265992087965355
4,966.01,0.911,1,37,3,Казань,0.13438251154542086
5,648.67,0.967,1,64,28,Екатеринбург,0.20946493686789722
6,618.03,0.55,1,57,26,Новосибирск,0.13291985473991494
7,338.44,0.082,0,34,30,Казань,0.6910145708920571
8,618.77,0.883,1,28,13,Санкт-Петербург,0.16347777000557703
9,586.95,0.76,1,57,13,Казань,0.1440638197243935
10,206.79,0.112,0,30,2,Москва,0.6667862813948727
11,520.79,0.81,1,53,37,Санкт-Петербург,0.12047341691664187
12,796.18,0.864,1,32,38,Москва,0.2503541575365956
13,267.04,0.397,0,29,2,Санкт-Петербург,0.4779986950084079
14,350.59,0.076,0,54,36,Казань,0.5253909439385802
15,600.26,0.98,1,44,26,Екатеринбург,0.20656540748027885
16,792.68,0.663,1,46,11,Новосибирск,0.272133564357777
17,121.17,0.103,0,29,8,Москва,0.679753896394947
18,395.86,0.223,0,43,22,Казань,0.4448046852272823
19,634.87,0.998,1,25,20,Екатеринбург,0.17881803055490061
20,113.63,0.344,0,61,8,Казань,0.6131388529133039
21,333.96,0.241,0,24,29,Москва,0.5885287176420274
22,512.29,0.716,1,50,26,Новосибирск,0.1070430347051047
23,134.76,0.129,0,62,30,Казань,0.6961513187764079
24,757.8,0.781,1,50,17,Санкт-Петербург,0.26040765405657373
25,211.05,0.251,0,55,20,Екатеринбург,0.7026156668904964
26,663.23,0.83,1,55,16,Казань,0.20746809936863625
27,314.38,0.002,0,49,7,Екатеринбург,0.41098822500519394
28,540.06,0.83,1,34,16,Санкт-Петербург,0.24384688380882935
29,103.65,0.332,0,36,27,Новосибирск,0.7974312691276875
30,262.19,0.288,0,44,23,Новосибирск,0.46995357447794506
31,258.31,0.016,0,47,24,Санкт-Петербург,0.6690577374107161
32,154.55,0.023,0,25,9,Екатеринбург,0.46935842648244774
33,581.76,0.844,1,47,35,Казань,0.23395089024364957
34,743.33,0.959,1,61,20,Санкт-Петербург,0.18047461014449354
35,317.79,0.144,0,30,37,Москва,0.6719886840357505
36,610.6,0.906,1,26,17,Екатеринбург,0.22509561208493226
37,219.55,0.074,0,53,31,Новосибирск,0.6982513330082007
38,532.68,0.591,1,41,8,Санкт-Петербург,0.1745999671133726
39,607.84,0.818,1,32,15,Новосибирск,0.14180740747718446
40,672.97,0.561,1,36,31,Екатеринбург,0.23915899338814908
41,321.37,0.46,0,53,30,Новосибирск,0.769269595447706
42,372.48,0.043,0,49,20,Санкт-Петербург,0.4063407368927505
43,240.6,0.023,0,43,39,Екатеринбург,0.6919694077143285
44,614.23,0.791,1,62,12,Москва,0.1505060779272889
45,367.61,0.101,0,38,17,Санкт-Петербург,0.424669833448383
46,922.09,0.979,1,47,30,Казань,0.2694538819925447
47,670.94,0.988,1,28,29,Санкт-Петербург,0.141201135710408
48,883.59,0.805,1,63,19,Екатеринбург,0.29041913033058475
49,183.59,0.249,0,47,11,Санкт-Петербург,0.6598171834414642
50,673.9,0.921,1,46,34,Москва,0.297160731890061
51,504.89,0.819,1,31,7,Москва,0.26772177750679244
52,838.26,0.711,1,40,34,Казань,0.26171410682947804
53,629.07,0.881,1,32,20,Новосибирск,0.1635809347546567
54,142.03,0.124,0,34,38,Екатеринбург,0.46381598267536944
55,508.94,0.931,1,29,24,Екатеринбург,0.17642658176519757
56,724.35,0.865,1,61,10,Новосибирск,0.16036187393253873
57,366.31,0.271,0,25,32,Москва,0.7529636745775155
58,772.24,0.729,1,52,15,Москва,0.2010730513011859
59,255.64,0.266,0,49,37,Санкт-Петербург,0.5326631376708071
60,831.9,0.873,1,32,20,Казань,0.22691129354830494
61,392.32,0.475,0,64,3,Казань,0.6031008607450657
62,862.63,0.923,1,22,37,Казань,0.12414932717933602
63,146.8,0.081,0,59,8,Санкт-Петербург,0.4440569131675866
64,610.38,0.997,1,45,23,Казань,0.13738628588828938
65,289.34,0.082,0,52,11,Новосибирск,0.49642573834269466
66,811.48,0.589,1,62,8,Санкт-Петербург,0.197623508686747
67,342.52,0.472,0,47,29,Новосибирск,0.5440398523128454
68,770.95,0.74,1,26,30,Санкт-Петербург,0.11984591921892936
69,380.85,0.31,0,41,10,Казань,0.5027320150900741
70,540.81,0.812,1,62,39,Новосибирск,0.22570043404724077
71,712.75,0.62,1,32,28,Новосибирск,0.1430311243248111
72,968.61,0.931,1,54,36,Новосибирск,0.22549357975321455
73,668.45,0.765,1,59,13,Санкт-Петербург,0.2847329675099305
74,942.99,0.981,1,48,32,Екатеринбург,0.29950362623453497
75,790.04,0.835,1,55,36,Казань,0.10649021535813515
76,308.79,0.259,0,36,37,Новосибирск,0.45649747921062295
77,536.1,0.964,1,53,26,Екатеринбург,0.1620614231583395
78,898.27,0.768,1,42,22,Казань,0.1798252200889932
79,385.21,0.268,0,26,4,Казань,0.7820252748504947
80,141.26,0.433,0,27,31,Новосибирск,0.6443705549933912
81,866.56,0.992,1,59,18,Новосибирск,0.29091076848349995
82,888.3,0.867,1,43,38,Санкт-Петербург,0.28370432055410355
83,331.67,0.257,0,39,24,Екатеринбург,0.6086847205467674
84,122.21,0.463,0,35,23,Екатеринбург,0.5050678941321939
85,177.38,0.465,0,31,22,Новосибирск,0.7069116710062521
86,836.72,0.539,1,34,2,Казань,0.14780290693318868
87,610.09,0.898,1,52,31,Новосибирск,0.2257745793976351
88,561.05,0.797,1,51,11,Казань,0.2280761493288482
89,111.2,0.293,0,24,28,Казань,0.7155780495739708
90,659.38,0.784,1,51,32,Новосибирск,0.24817385367704356
91,600.93,0.749,1,27,5,Москва,0.20851466539319113
92,275.73,0.236,0,50,38,Екатеринбург,0.6770056051044773
93,912.91,0.8,1,29,10,Казань,0.15479775630860362
94,331.29,0.448,0,64,24,Казань,0.7726636999036076
95,253.22,0.126,0,54,35,Москва,0.44193429888239655
96,891.19,0.513,1,38,23,Санкт-Петербург,0.1266688934632741
97,884.14,0.89,1,32,17,Москва,0.14850885531659413
98,908.65,0.51,1,34,1,Москва,0.1583386901443172
99,268.38,0.173,0,32,31,Казань,0.4061242346507622
100,101.52,0.127,0,52,31,Екатеринбург,0.712229090328376
101,962.2,0.676,1,49,34,Москва,0.15784878056393364
102,116.89,0.083,0,27,9,Санкт-Петербург,0.5625674164008552
103,307.57,0.298,0,62,22,Новосибирск,0.7237478177747784
104,106.18,0.307,0,37,13,Москва,0.5517133566910178
105,209.91,0.421,0,25,25,Москва,0.41888995059790196
106,541.19,0.529,1,56,18,Санкт-Петербург,0.2731142440189529
107,250.94,0.034,0,47,12,Екатеринбург,0.782361268955273
108,345.17,0.286,0,33,17,Москва,0.4281621449610057
109,283.52,0.173,0,32,15,Москва,0.5419724803872066
110,298.0,0.278,0,58,15,Екатеринбург,0.6012716668205379
111,193.29,0.317,0,46,15,Санкт-Петербург,0.597312330935424
112,863.58,0.806,1,39,39,Москва,0.11549659475847718
113,225.88,0.369,0,40,13,Екатеринбург,0.6004650925829962
114,868.2,0.518,1,44,17,Москва,0.21705936566686224
115,679.62,0.649,1,59,32,Новосибирск,0.15128260553978837
116,579.3,0.777,1,39,9,Казань,0.2867955948289038
117,876.36,0.968,1,47,20,Новосибирск,0.12621172616085807
118,197.6,0.31,0,27,26,Москва,0.567792594035928
119,119.52,0.498,0,25,27,Санкт-Петербург,0.5562774148403795
120,277.72,0.028,0,50,21,Казань,0.666332331060745
121,241.66,0.076,0,55,18,Новосибирск,0.48620514301910756
122,536.22,0.662,1,38,13,Екатеринбург,0.20289792046240773
123,956.18,0.888,1,64,16,Санкт-Петербург,0.2713670699446352
124,555.24,0.548,1,64,9,Новосибирск,0.19337561982462087
125,972.03,0.978,1,37,12,Екатеринбург,0.17194397238205392
126,715.15,0.901,1,23,38,Москва,0.2072310772505472
127,829.44,0.893,1,55,19,Екатеринбург,0.24347255060727338
128,326.01,0.45,0,29,7,Новосибирск,0.40422065472636026
129,583.52,0.777,1,34,35,Новосибирск,0.2877753950284546
130,297.28,0.469,0,63,18,Москва,0.6227354778760965
131,371.61,0.091,0,29,16,Екатеринбург,0.756749252003364
132,195.79,0.295,0,51,39,Екатеринбург,0.514865906052223
133,783.51,0.512,1,53,4,Москва,0.23782421809915164
134,184.29,0.217,0,57,25,Екатеринбург,0.4462422442446049
135,783.97,0.949,1,51,32,Москва,0.2993618361362218
136,310.91,0.121,0,22,13,Санкт-Петербург,0.4148886818277317
137,388.97,0.238,0,64,17,Новосибирск,0.7670402785047601
138,342.23,0.092,0,60,37,Санкт-Петербург,0.6692445392498114
139,871.35,0.972,1,38,6,Казань,0.24537538122795433
140,135.12,0.129,0,41,19,Казань,0.7531292650713975
141,196.01,0.211,0,45,13,Казань,0.5891962374792611
142,155.46,0.386,0,43,26,Москва,0.6078740124601508
143,291.27,0.064,0,50,14,Екатеринбург,0.47623041860687754
144,744.32,0.72,1,43,31,Санкт-Петербург,0.2645405843434413
145,129.3,0.124,0,30,4,Санкт-Петербург,0.7612111493971248
146,248.14,0.237,0,58,39,Санкт-Петербург,0.4203413694543285
147,257.43,0.405,0,31,8,Санкт-Петербург,0.745422721199324
