study_hours_per_week,lecture_attendance,homework_avg,midterm_score,practice_solved,sleep_hours_per_night,days_before_exam,group_project_score,extra_consultations,motivation_level,exam_grade
27,81,7.4,70,51,6.7,15,61,3,2,4
10,72,5.1,59,55,6.3,13,51,1,1,3
5,48,4.9,37,6,4.4,3,29,1,2,2
9,75,5.3,54,57,6.2,7,60,3,1,3
18,75,6.1,65,49,6.5,14,66,5,0,3
25,78,8.3,76,58,6.7,15,77,5,2,4
4,55,3.5,35,10,4.2,7,14,2,0,2
25,89,7.1,66,61,7.7,10,77,6,2,4
16,78,7.0,65,53,7.4,17,67,5,2,4
5,50,4.5,40,10,4.9,11,14,3,0,2
19,64,6.8,56,51,5.8,5,66,5,0,3
20,80,7.2,71,62,7.8,17,81,7,1,4
22,94,7.8,68,71,7.3,17,77,6,2,4
30,84,8.0,67,57,7.4,14,83,4,2,4
17,76,6.5,52,62,6.7,15,43,5,1,3
18,80,6.9,64,60,7.8,11,80,2,2,4
3,41,4.6,33,13,4.2,2,45,0,0,2
31,92,9.5,80,78,7.7,21,97,7,2,5
24,85,6.9,64,71,6.8,13,82,7,1,4
34,96,8.9,84,100,7.5,25,86,6,1,5
39,97,9.8,86,91,7.9,30,75,6,2,5
2,44,5.3,20,6,5.9,2,43,2,1,2
17,69,5.7,57,50,6.9,6,52,4,1,3
36,93,9.3,77,95,8.0,30,77,10,1,5
11,79,6.7,52,55,6.3,12,44,4,0,3
29,95,8.8,88,92,7.7,23,97,7,2,5
6,48,4.0,31,35,5.5,9,37,0,1,2
28,91,8.4,95,92,7.7,30,88,10,2,5
23,76,7.6,79,75,7.8,10,78,7,2,4
40,91,8.3,91,69,8.1,24,83,7,2,5
5,57,4.1,37,23,5.2,4,41,0,0,2
8,78,6.9,60,46,6.1,12,64,5,0,3
19,65,5.2,53,35,6.7,9,68,3,0,3
9,64,5.9,55,50,6.5,11,46,5,0,3
38,94,8.4,83,89,9.0,21,100,4,2,5
9,64,6.2,57,50,7.0,6,51,4,1,3
20,89,7.0,75,79,7.2,13,65,2,1,4
7,52,5.0,33,33,5.4,3,10,3,0,2
18,66,6.0,50,56,7.0,7,52,4,1,3
23,74,8.4,62,67,7.1,18,61,4,1,4
24,82,8.0,79,58,6.8,15,60,6,2,4
8,48,4.8,22,25,5.3,9,7,0,0,2
28,100,9.8,87,81,8.2,27,82,8,1,5
2,44,5.1,22,11,5.0,1,28,2,0,2
30,98,9.9,100,87,8.6,30,93,10,2,5
5,44,3.1,37,27,5.2,6,40,3,0,2
19,76,6.2,52,40,6.1,9,63,2,0,3
15,80,5.0,54,49,6.6,15,41,1,1,3
9,55,5.7,27,12,5.1,1,44,1,0,2
3,58,3.0,46,9,5.0,1,19,1,0,2
12,70,5.1,47,33,6.1,14,64,4,1,3
29,98,9.8,77,87,7.3,22,88,4,1,5
20,61,5.0,48,33,6.2,14,60,5,0,3
36,98,8.3,82,69,8.8,27,97,8,2,5
12,62,5.2,50,31,6.0,14,59,4,0,3
31,98,8.6,81,80,7.2,24,79,9,2,5
9,80,6.1,61,33,6.7,5,56,4,0,3
34,97,8.2,95,76,8.5,21,92,5,2,5
19,62,6.0,49,35,6.7,6,45,1,0,3
14,66,6.7,47,31,6.5,5,44,4,0,3
7,49,3.5,36,0,6.0,1,4,0,0,2
24,96,9.5,84,68,8.8,20,93,6,2,5
18,76,7.5,60,52,6.7,14,77,6,1,4
9,60,3.7,39,25,4.6,3,25,1,1,2
2,48,3.1,45,14,5.4,5,11,1,1,2
26,100,9.3,87,72,7.5,29,79,7,2,5
20,75,5.3,52,34,6.8,9,45,3,1,3
31,96,9.9,96,73,8.3,30,93,7,1,5
28,91,8.2,67,55,7.6,14,70,2,2,4
10,81,5.9,64,33,7.0,9,45,4,2,3
26,88,7.3,77,53,6.9,14,72,3,2,4
10,48,3.8,32,36,4.4,10,50,3,1,2
7,79,5.2,64,28,5.8,13,70,2,1,3
15,66,6.2,45,36,6.3,7,42,4,1,3
12,79,5.1,50,30,5.6,14,43,4,2,3
34,92,9.5,74,74,9.1,28,94,4,1,5
10,42,3.1,47,24,4.1,1,24,0,0,2
15,80,8.3,78,58,6.9,17,80,5,2,4
36,94,10.0,79,94,8.9,24,80,8,2,5
5,59,3.4,20,38,4.7,7,46,0,0,2
35,99,9.0,76,85,8.4,20,91,6,2,5
9,67,3.3,47,30,5.1,8,29,0,0,2
21,80,6.7,75,71,7.3,15,75,5,2,4
17,66,6.1,65,43,6.8,4,61,5,1,3
24,94,7.7,62,57,7.5,19,61,4,1,4
16,68,6.4,53,42,7.0,11,55,5,2,3
19,68,5.7,51,48,6.3,4,42,5,1,3
14,71,5.5,63,35,5.8,8,67,2,1,3
33,96,8.7,77,83,8.3,28,99,6,0,5
27,100,9.2,90,100,8.9,27,89,8,2,5
21,81,7.4,67,67,7.6,10,76,5,1,4
25,89,9.0,79,85,8.0,23,97,8,2,5
31,90,9.8,83,76,8.4,25,76,10,1,5
11,62,3.7,48,9,5.5,8,16,3,0,2
12,79,5.4,53,51,6.7,8,47,5,1,3
11,65,6.0,49,40,6.5,12,63,3,1,3
34,94,9.5,88,86,7.2,21,95,5,2,5
31,95,9.0,91,97,7.1,23,81,6,1,5
27,99,9.8,81,74,8.6,25,88,8,2,5
15,85,7.5,75,60,7.1,12,74,3,0,4
9,59,3.0,41,30,4.4,7,33,0,2,2
23,77,7.0,70,76,6.5,10,64,5,0,4
8,79,5.8,61,43,6.2,8,56,1,2,3
40,94,9.0,100,100,8.8,27,86,9,2,5
28,77,7.3,73,69,7.9,20,72,3,0,4
9,60,5.6,20,32,5.4,1,41,1,1,2
3,64,4.3,43,11,5.7,7,13,3,1,2
31,94,8.8,98,70,8.3,24,82,8,2,5
35,93,9.2,95,93,7.8,26,80,7,2,5
6,60,3.0,31,21,4.2,3,9,3,0,2
23,87,8.4,72,75,8.0,14,84,3,1,4
22,94,7.6,70,71,7.8,13,81,7,2,4
20,70,5.3,59,36,6.3,11,42,2,2,3
9,53,4.2,41,15,4.2,7,9,3,0,2
37,97,9.6,99,80,7.3,24,86,6,2,5
18,64,5.7,50,50,6.1,8,58,4,0,3
34,95,8.3,85,100,7.6,27,99,6,2,5
5,59,4.7,39,3,4.8,7,18,2,1,2
6,43,4.6,46,4,4.2,3,37,2,0,2
19,72,7.0,59,51,6.6,6,53,2,0,3
24,79,8.0,75,59,7.6,10,60,5,1,4
13,75,6.0,48,43,5.8,5,48,1,2,3
32,98,9.9,82,71,7.5,22,92,7,1,5
20,80,7.2,75,65,7.9,10,66,4,2,4
11,62,6.5,49,38,6.2,6,48,2,1,3
13,79,6.8,52,57,6.0,9,63,3,1,3
7,62,6.1,51,51,6.7,9,46,3,1,3
16,64,6.7,56,37,5.8,10,41,1,0,3
27,92,9.1,75,81,8.2,27,93,9,2,5
2,44,4.2,37,8,5.7,2,44,1,0,2
21,96,7.9,76,78,6.7,11,74,2,1,4
13,74,6.4,63,35,6.3,12,71,4,0,3
11,46,3.6,27,6,5.9,2,35,1,0,2
27,90,6.8,64,77,7.5,12,64,2,2,4
36,93,8.4,75,88,8.3,22,78,7,2,5
33,99,8.8,83,90,7.8,26,87,7,2,5
4,65,5.3,44,18,5.6,6,40,1,1,2
28,97,7.5,73,68,6.9,15,63,5,1,4
5,55,3.1,22,26,5.5,4,45,1,0,2
36,90,8.9,87,80,7.1,23,85,8,2,5
5,50,3.6,22,1,5.1,3,3,0,0,2
36,93,9.9,80,96,8.9,30,90,7,2,5
20,93,7.9,74,58,6.9,18,72,4,1,4
5,57,4.3,49,3,5.2,8,48,3,0,2
33,99,10.0,99,89,7.4,24,82,6,1,5
22,79,7.0,61,59,7.5,11,85,3,1,4
22,81,7.9,67,68,7.4,11,72,7,2,4
9,59,3.7,47,5,6.1,1,49,2,0,2
2,63,4.1,41,17,5.5,10,13,3,0,2
17,60,5.8,54,49,6.1,12,41,3,1,3
24,88,7.2,80,57,7.1,20,79,7,2,4
17,85,7.9,78,59,7.3,12,62,7,1,4
13,68,5.1,60,33,5.6,9,52,5,2,3
32,91,9.7,76,81,8.7,24,87,7,2,5
17,90,8.1,78,68,7.1,12,67,6,2,4
14,79,8.1,59,82,7.0,13,74,6,1,4
16,78,6.6,61,75,8.0,17,66,2,1,4
3,44,3.0,37,16,5.9,4,4,2,1,2
25,78,8.0,77,49,7.1,19,76,5,1,4
