study_hours_per_week,lecture_attendance,homework_avg,midterm_score,practice_solved,sleep_hours_per_night,days_before_exam,group_project_score,extra_consultations,motivation_level,exam_grade
30,86,8.2,45,36,4.9,19,2,3,0,4
16,45,8.3,94,99,4.6,2,24,0,1,4
9,98,10.0,66,54,9.5,22,33,6,1,5
22,97,9.3,56,66,4.1,30,69,1,1,4
20,75,9.5,22,7,4.6,25,55,10,0,4
24,79,8.6,45,68,6.7,19,64,2,0,5
12,90,7.3,34,4,5.6,4,59,7,0,5
12,98,3.9,85,16,6.4,3,47,1,1,5
25,44,7.4,47,57,4.7,23,71,1,0,4
37,52,3.4,57,62,4.8,4,80,3,1,4
25,71,10.12,63,26,8.8,28,76,5,2,5
4,55,7.040000000000001,72,75,8.6,14,18,9,2,5
23,40,8.690000000000001,99,91,4.6,6,34,10,2,4
3,52,3.4,23,67,8.0,6,96,1,0,5
25,93,6.7,91,27,7.7,9,32,8,1,5
31,50,5.1,63,88,8.3,5,41,1,0,5
39,92,5.5,65,57,6.8,7,53,8,2,5
3,47,5.7,45,49,5.6,13,38,6,1,5
22,64,3.3000000000000003,32,99,8.0,1,63,10,2,5
34,79,6.3,88,66,6.2,24,37,2,1,5
13,71,6.4,63,30,5.3,2,37,8,0,5
23,63,9.0,72,100,6.5,20,72,8,1,5
26,67,6.71,70,11,8.6,10,51,5,2,5
28,53,5.5,32,54,6.9,23,100,1,1,5
29,84,10.0,60,100,5.8,28,46,6,1,5
17,42,7.700000000000001,30,100,9.0,6,64,3,2,5
16,75,6.930000000000001,56,3,9.3,4,99,3,2,5
4,66,7.15,79,93,6.6,8,41,6,2,5
38,59,9.57,51,41,6.2,14,54,4,2,5
8,86,5.4,64,90,7.7,29,58,0,1,5
22,54,5.7,37,53,4.3,16,65,2,1,4
10,66,9.13,98,21,8.1,15,73,6,2,5
19,92,3.5,39,0,8.7,13,53,8,1,5
5,84,10.01,63,47,6.4,12,50,8,2,5
26,80,6.0,55,42,5.0,7,22,6,1,5
15,67,7.1,88,19,4.2,15,72,4,0,4
10,64,8.3,56,17,7.8,6,10,3,1,5
27,81,5.390000000000001,52,69,5.6,21,35,8,2,5
3,100,9.2,38,48,6.8,21,55,5,0,5
21,83,9.9,70,75,6.3,14,41,9,0,5
29,85,7.15,51,16,5.0,27,98,1,2,5
8,72,10.56,41,52,7.1,15,12,2,2,5
9,85,3.0,20,21,6.8,23,82,6,1,5
36,53,9.3,73,81,7.7,11,98,3,1,5
15,47,5.2,39,9,5.5,22,51,6,0,5
18,87,5.2,77,23,5.3,4,29,4,1,5
37,53,4.6,54,83,8.9,23,81,0,1,5
5,40,5.2,89,11,8.2,5,11,9,1,5
3,55,4.5,89,3,8.6,23,75,2,0,5
7,57,9.3,80,41,4.7,23,20,8,1,4
5,46,9.3,82,4,5.3,27,11,3,1,5
30,54,4.07,80,25,7.5,2,61,4,2,5
19,63,4.0,76,99,9.1,28,91,1,0,5
27,88,9.9,22,58,9.4,20,92,9,2,5
35,90,5.8,64,61,9.0,15,38,10,0,5
11,94,4.620000000000001,34,79,4.3,10,43,7,2,4
37,52,7.26,36,4,8.9,4,3,0,2,5
15,48,6.490000000000001,34,25,9.4,29,30,10,2,5
32,95,4.95,24,82,4.3,23,23,3,2,4
16,95,8.0,65,5,6.5,8,41,5,1,5
9,54,7.4,30,23,7.2,11,48,7,1,5
15,96,3.7,83,94,5.4,17,81,3,1,5
24,97,10.450000000000001,33,94,7.1,7,89,1,2,5
22,74,6.9,58,52,9.3,11,19,3,0,5
17,63,4.8,86,6,9.2,22,7,0,0,5
19,72,4.840000000000001,74,9,9.6,10,32,7,2,5
25,55,4.4,61,38,6.9,1,67,8,2,5
27,47,6.0,94,85,6.5,30,37,2,1,5
26,68,4.29,24,77,8.0,30,85,7,2,5
30,62,5.9,71,27,6.5,8,35,8,1,5
16,84,4.0,41,41,4.3,5,47,7,1,4
2,70,8.36,96,61,8.3,13,94,1,2,5
26,79,8.5,63,51,5.7,7,7,1,0,5
8,88,6.8,78,21,4.3,24,72,9,0,4
10,93,8.58,44,56,4.1,23,81,3,2,4
25,94,9.6,40,95,9.6,11,98,0,1,5
2,53,7.5,83,10,5.5,12,59,2,1,5
9,98,5.5,87,13,6.7,14,23,3,0,5
25,92,6.1,66,30,9.7,12,16,1,1,5
12,69,9.0,54,3,6.8,26,64,6,0,5
18,92,4.29,26,21,4.5,28,38,9,2,4
9,78,5.83,75,92,7.3,29,78,2,2,5
36,66,7.0,71,98,4.5,1,54,6,1,4
36,86,8.47,65,63,4.6,6,76,6,2,4
34,55,9.13,28,76,9.1,27,86,10,2,5
6,90,5.2,77,83,5.7,11,92,8,1,5
29,45,4.0,42,82,8.1,11,60,3,1,5
8,94,9.7,22,78,7.1,12,30,3,0,5
10,72,3.8500000000000005,80,89,5.3,1,100,0,2,5
9,83,4.07,28,83,7.1,20,27,10,2,5
13,57,6.5,72,60,4.4,20,31,5,1,4
35,55,9.57,87,99,6.1,24,6,5,2,5
34,51,8.4,68,5,7.1,6,77,6,0,5
24,59,9.6,89,78,5.4,29,13,8,0,5
