transaction_id,amount,balance_before,balance_after,transaction_type,transaction_hour,transaction_month,day_of_week,client_id,client_age,historical_transactions,amount_percentage,balance_change,is_large,is_night,large_night
TXN_0110650,180.67,180.67,0.0,1,12,11,4,CLIENT_01473,48,56,100.0,-180.67,0,0,0
TXN_0102041,100.0,100.0,0.0,2,13,8,5,CLIENT_03729,23,56,100.0,-100.0,0,0,0
TXN_0108668,221.43,2302.18,2080.75,0,9,1,6,CLIENT_03518,36,54,9.62,-221.42999999999984,0,0,0
TXN_0101114,111.09,2249.24,2128.26,0,15,8,1,CLIENT_02954,52,44,4.94,-120.97999999999956,0,0,0
TXN_0113902,678.42,2120.32,1441.9,1,17,4,3,CLIENT_00138,36,56,32.0,-678.4200000000001,0,0,0
TXN_0111963,639.69,639.69,0.0,1,12,3,4,CLIENT_04828,21,50,100.0,-639.69,0,0,0
TXN_0111072,41.64,494.3,449.16,0,20,11,1,CLIENT_01869,53,40,8.42,-45.139999999999986,0,0,0
TXN_0103002,1154.0,3171.3,2017.3,1,15,8,0,CLIENT_00095,35,57,36.39,-1154.0000000000002,0,0,0
TXN_ANOM_0200171,1663.69,1663.69,0.0,0,6,8,3,CLIENT_05843,54,50,100.0,-1663.69,0,0,0
TXN_0108115,222.11,385.47,163.35,2,11,3,3,CLIENT_03087,55,46,57.62,-222.12000000000003,0,0,0
TXN_0103525,106.34,3098.43,2992.09,0,17,1,5,CLIENT_04600,39,54,3.43,-106.33999999999969,0,0,0
TXN_0107879,140.21,1401.89,1261.68,2,10,12,2,CLIENT_04253,22,60,10.0,-140.21000000000004,0,0,0
TXN_0116441,964.07,100.0,1064.07,3,17,5,4,CLIENT_03961,44,46,964.07,964.0699999999999,0,0,0
TXN_0116296,563.27,1329.26,765.99,1,14,3,3,CLIENT_03193,33,42,42.37,-563.27,0,0,0
TXN_0112566,314.56,759.65,445.09,1,14,10,3,CLIENT_00833,60,53,41.41,-314.56,0,0,0
